Rk,Player,Age,Salary
1,Elena Delle Donne,29,117000
2,Jonquel Jones,25,59718
3,Nneka Ogwumike,28,115000
4,Sylvia Fowles,33,113360
5,Napheesa Collier,22,49539
6,Brittney Griner,28,115000
7,Natasha Howard,27,115000
8,Liz Cambage,27,115000
9,Courtney Vandersloot,30,117500
10,DeWanna Bonner,31,127500
11,Emma Meesseman,26,117500
12,Teaira McCowan,22,53537
13,Kayla McBride,27,115000
14,Allie Quigley,33,117500
15,Alyssa Thomas,27,115000
16,Allisha Gray,24,57886
17,Dearica Hamby,25,115000
18,Leilani Mitchell,34,96757
19,Courtney Williams,25,59718
20,LaToya Sanders,32,115000
21,Kristi Toliver,32,115000
22,Alysha Clark,31,84100
23,Mercedes Russell,23,41965
24,A'ja Wilson,22,53616
25,Ariel Atkins,22,49611
26,Chiney Ogwumike,27,117500
27,Aerial Powers,25,59718
28,Natalie Achonwa,26,105000
29,Stefanie Dolson,27,115000
30,Tianna Hawkins,28,70000
31,Arike Ogunbowale,22,49539
32,Elizabeth Williams,26,115000
33,Cheyenne Parker,26,110000
34,Shekinna Stricklen,28,106000
35,Natasha Cloud,27,115000
36,Diamond DeShields,24,53616
37,Chelsea Gray,26,115000
38,Danielle Robinson,30,108000
39,Damiris Dantas,26,105000
40,Odyssey Sims,26,115000
41,Jasmine Thomas,29,117500
42,Riquna Williams,29,110000
43,Kia Nurse,23,44273
44,Shatori Walker-Kimbrough,24,53563
45,Candace Parker,33,117500
46,Lexie Brown,24,44273
47,Candice Dupree,34,117500
48,Isabelle Harrison,25,53290
49,Jessica Breland,31,115000
50,Tierra Ruffin-Pratt,28,56375
51,Brianna Turner,22,44207
52,Erica Wheeler,28,80000
53,Amanda Zahui B.,25,108000
54,Jordin Canada,23,49611
55,Jantel Lavender,30,115000
56,Jewell Loyd,25,117500
57,Astou Ndour,24,65000
58,Jackie Young,21,53537
59,Kalani Brown,22,49539
60,Sydney Colson,29,56375
61,Glory Johnson,28,117500
62,Kelsey Plum,24,57886
63,Sami Whitcomb,30,50000
64,Kelsey Mitchell,23,53616
65,Stephanie Talbot,25,43311
66,Tiffany Hayes,29,115260
67,Renee Montgomery,32,107000
68,Natasha Hiedeman,22,27598
69,Bria Holmes,25,53290
70,Tiffany Mitchell,24,53290
71,Sydney Wiese,24,47798
72,Monique Billings,23,42632
73,Alaina Coates,24,25815
74,Megan Gustafson,22,34194
75,Marine Johannes,24,41965
76,Brionna Jones,23,53563
77,Theresa Plaisance,27,104000
78,Maria Vadeeva,20,44273
79,Rebecca Allen,26,80000
80,Kennedy Burke,22,41965
81,Layshia Clarendon,28,93400
82,Crystal Langhorne,32,105000
83,Camille Little,34,101000
84,Stephanie Mavunga,24,42632
85,Kayla Thornton,26,86000
86,Tanisha Wright,35,94860
87,Tamera Young,32,97600
88,Alana Beard,37,108000
89,Sophie Cunningham,22,42570
90,Reshanda Gray,26,41965
91,Briann January,32,117500
92,Shey Peddy,30,2723
93,Sugar Rodgers,29,102000
94,Essence Carson,32,85000
95,Asia Durr,22,53537
96,Imani McGee-Stafford,24,53290
97,Nayo Raincock-Ekunwe,27,41965
98,Carolyn Swords,29,83300
99,Bria Hartley,26,102000
100,Myisha Hines-Allen,23,42632
101,Marina Mabrey,22,42570
102,Courtney Paris,31,111000
103,Katie Lou Samuelson,22,53537
104,Morgan Tuck,25,64538
105,Nia Coffey,24,53563
106,Temi Fagbenle,26,48564
107,Shenise Johnson,28,104000
108,Sancho Lyttle,35,80000
109,Epiphanny Prince,31,41695
110,Kayla Alexander,28,6069
111,Kristine Anigwe,22,44207
112,Tayler Hill,28,115000
113,Alexis Jones,25,47798
114,Betnijah Laney,25,72500
115,Victoria Macaulay,28,21000
116,Kim Mestdagh,29,41965
117,Jessica Shepard,22,42570
118,Shavonte Zellous,32,65000
119,Jillian Alleyne,24,8169
120,Kenisha Bell,23,41695
121,Brittany Boyd,26,80000
122,Karima Christmas-Kelly,29,102000
123,Kahleah Copper,24,59718
124,Jamierra Faulkner,27,62000
125,Anriel Howard,22,5122
126,Erica McCall,23,46028
127,Brooke McCarty-Williams,23,41965
128,Angel McCoughtry,23,117500
129,Jaime Nared,23,5446
130,Karlie Samuelson,24,41965
131,Brittney Sykes,25,53563
132,Asia Taylor,27,56375
133,Gabby Williams,22,53616
134,Han Xu,19,42570
135,Bridget Carleton,22,41695
136,Arica Carter,22,41965
137,Tina Charles,30,117500
138,Marie Gulich,25,44273
139,Paris Kea,23,41965
140,Kaleena Mosqueda-Lewis,25,70000
141,Azura Stevens,23,49611
142,Shao Ting,29,41965
143,Ashley Walker,32,56375
144,Rachel Banham,25,64538
145,Maite Cazorla,22,42570
146,Blake Dietrick,25,41695
147,Chloe Jackson,22,35478
148,Ji-Su Park,20,42632
149,Haley Peters,26,41695
150,Avery Warley-Talbert,32,41695
151,Tiffany Bias,27,41695
152,Yvonne Turner,31,41965
153,Seimone Augustus,35,111000
154,Diana Taurasi,37,117500
155,Alanna Smith,22,49539
156,Alex Bentley,28,115000
157,Kaela Davis,24,47798
