"","Player","Season","Age","Tm","WS","G","GS","MP","FG","FGPM","FGA","FGAPM","X2P","X2PPM","X2PA","X2PAPM","X3P","X3PPM","X3PA","X3PAPM","FT","FTPM","FTA","FTAPM","ORB","ORBPM","TRB","TRBPM","DRB","DRBPM","AST","ASPM","STL","SPM","BLK","BPM","TOV","TPM","PF","PFPM","PTS","PPM","POS","POPM","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"1","A'ja Wilson",2019,22,"LVA",3.1,26,25,740,158,7.68648648648649,330,16.0540540540541,158,7.68648648648649,329,16.0054054054054,0,0,1,0.0486486486486487,114,5.54594594594595,144,7.00540540540541,43,2.09189189189189,168,8.17297297297297,125,6.08108108108108,47,2.28648648648649,13,0.632432432432432,45,2.18918918918919,56,2.72432432432432,52,2.52972972972973,430,20.9189189189189,3276,159.372972972973,0.479,0.792,0.48,0,0.479,-2.11063587479003,-0.420708134495513,53616
"2","Aerial Powers",2019,25,"WAS",3,30,7,593,108,6.55649241146712,249,15.1163575042159,66,4.00674536256324,133,8.07419898819562,42,2.54974704890388,116,7.04215851602024,85,5.1602023608769,98,5.94940978077572,34,2.06408094435076,97,5.88870151770658,63,3.82462057335582,45,2.7318718381113,25,1.5177065767285,6,0.36424957841484,44,2.67116357504216,48,2.91399662731872,343,20.822934232715,2500,151.77065767285,0.434,0.867,0.496,0.362,0.518,6.02052823492546,1.5151702611192,59718
"3","Alaina Coates",2019,24,"TOT",0.7,23,0,167,24,5.17365269461078,45,9.70059880239521,24,5.17365269461078,45,9.70059880239521,0,0,0,0,12,2.58682634730539,21,4.52694610778443,21,4.52694610778443,60,12.9341317365269,39,8.40718562874252,2,0.431137724550898,5,1.07784431137725,11,2.37125748502994,9,1.94011976047904,37,7.97604790419162,60,12.9341317365269,419,90.3233532934132,0.533,0.571,0.533,NA,0.533,0.919884513013925,0.123797503228969,25815
"4","Alana Beard",2019,37,"LAS",0.5,16,3,235,22,3.37021276595745,49,7.5063829787234,21,3.21702127659574,44,6.74042553191489,1,0.153191489361702,5,0.765957446808511,7,1.07234042553191,9,1.37872340425532,2,0.306382978723404,24,3.67659574468085,22,3.37021276595745,23,3.52340425531915,12,1.83829787234043,3,0.459574468085106,9,1.37872340425532,21,3.21702127659574,52,7.96595744680851,3004,460.187234042553,0.449,0.778,0.477,0.2,0.459,-0.975534507504786,0.0727005982454949,108000
"5","Alanna Smith",2019,22,"PHO",-0.5,18,0,134,8,2.14925373134328,41,11.0149253731343,6,1.61194029850746,23,6.17910447761194,2,0.537313432835821,18,4.83582089552239,1,0.26865671641791,2,0.537313432835821,11,2.95522388059702,35,9.40298507462687,24,6.44776119402985,4,1.07462686567164,5,1.34328358208955,5,1.34328358208955,8,2.14925373134328,18,4.83582089552239,19,5.1044776119403,4049,1087.79104477612,0.195,0.5,0.261,0.111,0.22,-1.79649142459452,-0.222565019917364,49539
"6","Alex Bentley",2019,28,"ATL",-1,29,4,634,99,5.62145110410095,323,18.3406940063091,67,3.80441640378549,187,10.6182965299685,32,1.81703470031546,136,7.72239747634069,30,1.70347003154574,35,1.98738170347003,10,0.56782334384858,54,3.06624605678233,44,2.49842271293375,86,4.88328075709779,21,1.19242902208202,9,0.511041009463722,44,2.49842271293375,56,3.17981072555205,260,14.7634069400631,83,4.71293375394322,0.307,0.857,0.358,0.235,0.356,-3.03637771115742,-0.41253955285729,115000
"7","Alexis Jones",2019,25,"LAS",0.1,20,1,243,28,4.14814814814815,70,10.3703703703704,17,2.51851851851852,37,5.48148148148148,11,1.62962962962963,33,4.88888888888889,12,1.77777777777778,15,2.22222222222222,2,0.296296296296296,22,3.25925925925926,20,2.96296296296296,36,5.33333333333333,6,0.888888888888889,4,0.592592592592593,27,4,29,4.2962962962963,79,11.7037037037037,2458,364.148148148148,0.4,0.8,0.459,0.333,0.479,-1.01110682281054,0.00258871280563739,47798
"8","Allie Quigley",2019,33,"CHI",3.7,34,34,972,171,6.33333333333333,347,12.8518518518519,91,3.37037037037037,166,6.14814814814815,80,2.96296296296296,181,6.7037037037037,47,1.74074074074074,54,2,13,0.481481481481481,101,3.74074074074074,88,3.25925925925926,85,3.14814814814815,27,1,7,0.259259259259259,46,1.7037037037037,61,2.25925925925926,469,17.3703703703704,73,2.7037037037037,0.493,0.87,0.548,0.442,0.608,4.66501810017334,1.27247999804194,117500
"9","Allisha Gray",2019,24,"DAL",3.6,34,29,1035,117,4.0695652173913,256,8.90434782608696,84,2.92173913043478,170,5.91304347826087,33,1.14782608695652,86,2.99130434782609,95,3.30434782608696,112,3.89565217391304,45,1.56521739130435,141,4.90434782608696,96,3.33913043478261,78,2.71304347826087,42,1.46086956521739,14,0.48695652173913,49,1.70434782608696,87,3.02608695652174,362,12.5913043478261,3638,126.539130434783,0.457,0.848,0.494,0.384,0.521,3.36430060913999,1.18160793134853,57886
"10","Alysha Clark",2019,31,"SEA",3.1,31,30,881,114,4.6583427922815,237,9.6844494892168,63,2.57434733257662,131,5.35300794551646,51,2.08399545970488,106,4.33144154370034,18,0.735527809307605,22,0.898978433598184,37,1.51191827468785,145,5.92508513053348,108,4.41316685584563,79,3.22814982973893,33,1.34846765039728,17,0.69466515323496,48,1.96140749148695,60,2.45175936435868,297,12.1362088535755,123,5.0261066969353,0.481,0.818,0.481,0.481,0.589,7.07628250839619,1.21093385421156,84100
"11","Alyssa Thomas",2019,27,"CON",3.7,34,34,1026,168,5.89473684210526,333,11.6842105263158,168,5.89473684210526,332,11.6491228070175,0,0,1,0.0350877192982456,60,2.10526315789474,121,4.24561403508772,83,2.91228070175439,264,9.26315789473684,181,6.35087719298246,104,3.64912280701754,66,2.31578947368421,13,0.456140350877193,69,2.42105263157895,96,3.36842105263158,396,13.8947368421053,93,3.26315789473684,0.505,0.496,0.506,0,0.505,-5.58363330188094,-1.36424690722572,115000
"12","Amanda Zahui B.",2019,25,"NYL",1.4,24,23,558,81,5.2258064516129,173,11.1612903225806,59,3.80645161290323,104,6.70967741935484,22,1.41935483870968,69,4.45161290322581,23,1.48387096774194,27,1.74193548387097,26,1.67741935483871,152,9.80645161290323,126,8.12903225806452,21,1.35483870967742,26,1.67741935483871,33,2.12903225806452,32,2.06451612903226,79,5.09677419354839,207,13.3548387096774,512,33.0322580645161,0.468,0.852,0.567,0.319,0.532,1.32168564446728,0.450359643964616,108000
"13","Angel McCoughtry",2019,32,"ATL",0,1,1,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1010,Inf,NA,NA,NA,NA,NA,-4.73850749528081,-0.0155244282412672,117500
"14","Anriel Howard",2019,22,"SEA",0,3,0,20,2,3.6,5,9,1,1.8,3,5.4,1,1.8,2,3.6,0,0,0,0,2,3.6,3,5.4,1,1.8,0,0,1,1.8,0,0,2,3.6,4,7.2,5,9,2054,3697.2,0.4,NA,0.333,0.5,0.5,9.26087297528856,0.253760118933822,5122
"15","Arica Carter",2019,22,"PHO",-0.1,6,0,24,1,1.5,5,7.5,1,1.5,1,1.5,0,0,4,6,0,0,0,0,0,0,0,0,0,0,1,1.5,1,1.5,0,0,2,3,5,7.5,2,3,1503,2254.5,0.2,NA,1,0,0.2,-12.1283292775563,-0.66602563193023,41965
"16","Ariel Atkins",2019,22,"WAS",3,33,33,804,123,5.50746268656716,296,13.2537313432836,72,3.22388059701493,153,6.85074626865672,51,2.28358208955224,143,6.40298507462687,43,1.92537313432836,53,2.37313432835821,24,1.07462686567164,93,4.16417910447761,69,3.08955223880597,65,2.91044776119403,48,2.14925373134328,18,0.805970149253731,34,1.52238805970149,73,3.26865671641791,340,15.2238805970149,397,17.7761194029851,0.416,0.811,0.471,0.357,0.502,-0.971226913998375,-0.0658818557347305,49611
"17","Arike Ogunbowale",2019,22,"DAL",2.7,33,28,1059,214,7.27478753541077,551,18.7308781869688,157,5.3371104815864,389,13.2237960339943,57,1.93767705382436,162,5.5070821529745,145,4.92917847025496,178,6.05099150141643,20,0.679886685552408,80,2.71954674220963,60,2.03966005665722,106,3.60339943342776,35,1.18980169971671,1,0.0339943342776204,68,2.31161473087819,85,2.88951841359773,630,21.4164305949008,1023,34.7762039660057,0.388,0.815,0.404,0.352,0.44,-3.60803448584394,-0.635206206031662,49539
"18","Ashley Walker",2019,32,"LAS",-0.1,3,0,22,1,1.63636363636364,11,18,1,1.63636363636364,6,9.81818181818182,0,0,5,8.18181818181818,0,0,0,0,2,3.27272727272727,3,4.90909090909091,1,1.63636363636364,3,4.90909090909091,1,1.63636363636364,0,0,0,0,4,6.54545454545455,2,3.27272727272727,3939,6445.63636363636,0.091,NA,0.167,0,0.091,15.8478985584455,0.680109537094657,56375
"19","Asia Durr",2019,22,"NYL",0.4,18,15,480,71,5.325,152,11.4,56,4.2,101,7.575,15,1.125,51,3.825,18,1.35,22,1.65,5,0.375,29,2.175,24,1.8,31,2.325,10,0.75,7,0.525,21,1.575,34,2.55,175,13.125,3538,265.35,0.467,0.818,0.554,0.294,0.516,1.53484272039383,0.213615749113595,53537
"20","Asia Taylor",2019,27,"TOT",0,12,0,96,10,3.75,28,10.5,10,3.75,26,9.75,0,0,2,0.75,6,2.25,8,3,8,3,21,7.875,13,4.875,8,3,2,0.75,1,0.375,7,2.625,10,3.75,26,9.75,1651,619.125,0.357,0.75,0.385,0,0.357,13.3933661926071,1.35449608525834,56375
"21","Astou Ndour",2019,24,"CHI",1.3,21,11,368,58,5.67391304347826,118,11.5434782608696,44,4.30434782608696,85,8.31521739130435,14,1.3695652173913,33,3.22826086956522,13,1.27173913043478,18,1.76086956521739,30,2.93478260869565,88,8.60869565217391,58,5.67391304347826,14,1.3695652173913,10,0.978260869565217,14,1.3695652173913,14,1.3695652173913,36,3.52173913043478,143,13.9891304347826,134,13.1086956521739,0.492,0.722,0.518,0.424,0.551,-6.05281445480224,-0.992791050099508,65000
"22","Avery Warley-Talbert",2019,32,"NYL",-0.2,3,0,35,1,1.02857142857143,5,5.14285714285714,1,1.02857142857143,5,5.14285714285714,0,0,0,0,1,1.02857142857143,2,2.05714285714286,3,3.08571428571429,7,7.2,4,4.11428571428571,0,0,0,0,2,2.05714285714286,4,4.11428571428571,7,7.2,3,3.08571428571429,2138,2199.08571428571,0.2,0.5,0.2,NA,0.2,-20.9542931887306,-1.082960536343,41695
"23","Azura Stevens",2019,23,"DAL",-0.1,9,1,144,19,4.75,53,13.25,18,4.5,44,11,1,0.25,9,2.25,4,1,5,1.25,15,3.75,32,8,17,4.25,5,1.25,5,1.25,10,2.5,9,2.25,12,3,43,10.75,1493,373.25,0.358,0.8,0.409,0.111,0.368,-7.40121992564279,-0.923093244339709,49611
"24","Betnijah Laney",2019,25,"IND",0.1,34,27,877,77,3.16077537058153,213,8.74344355758267,57,2.33979475484607,147,6.03420752565564,20,0.820980615735462,66,2.70923603192702,18,0.738882554161916,31,1.27251995438997,32,1.31356898517674,143,5.87001140250855,111,4.55644241733181,59,2.42189281641961,48,1.97035347776511,4,0.164196123147092,49,2.01140250855188,55,2.25769669327252,192,7.88141391106043,5248,215.425313568985,0.362,0.581,0.388,0.303,0.408,0.440069151605464,-0.608149630274978,72500
"25","Blake Dietrick",2019,25,"SEA",-0.2,17,1,106,1,0.339622641509434,10,3.39622641509434,1,0.339622641509434,4,1.35849056603774,0,0,6,2.0377358490566,4,1.35849056603774,6,2.0377358490566,1,0.339622641509434,10,3.39622641509434,9,3.05660377358491,16,5.43396226415094,3,1.0188679245283,2,0.679245283018868,10,3.39622641509434,14,4.75471698113208,6,2.0377358490566,183,62.1509433962264,0.1,0.667,0.25,0,0.1,-7.24732806173895,-0.884966430538826,41695
