"","Player","Season","Age","Tm","WS","G","GS","MP","MPG","FG","FGPG","FGA","FGAPG","X2P","X2PPG","X2PA","X2PAPG","X3P","X3PPG","X3PA","X3PAPG","FT","FTPG","FTA","FTAPG","DRB","DRBPG","ORB","ORBPG","TRB","TRBPG","AST","APG","STL","SPG","BLK","BPG","TOV","TPG","PF","PFPG","PTS","PPG","POS","POPG","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"1","A'ja Wilson",2019,22,"LVA",3.1,26,25,740,28.4615384615385,158,6.07692307692308,330,12.6923076923077,158,6.07692307692308,329,12.6538461538462,0,0,1,0.0384615384615385,114,4.38461538461539,144,5.53846153846154,125,4.80769230769231,43,1.65384615384615,168,6.46153846153846,47,1.80769230769231,13,0.5,45,1.73076923076923,56,2.15384615384615,52,2,430,16.5384615384615,3276,126,0.479,0.792,0.48,0,0.479,-2.11063587479003,-0.420708134495513,53616
"2","Aerial Powers",2019,25,"WAS",3,30,7,593,19.7666666666667,108,3.6,249,8.3,66,2.2,133,4.43333333333333,42,1.4,116,3.86666666666667,85,2.83333333333333,98,3.26666666666667,63,2.1,34,1.13333333333333,97,3.23333333333333,45,1.5,25,0.833333333333333,6,0.2,44,1.46666666666667,48,1.6,343,11.4333333333333,2500,83.3333333333333,0.434,0.867,0.496,0.362,0.518,6.02052823492546,1.5151702611192,59718
"3","Alaina Coates",2019,24,"TOT",0.7,23,0,167,7.26086956521739,24,1.04347826086957,45,1.95652173913043,24,1.04347826086957,45,1.95652173913043,0,0,0,0,12,0.521739130434783,21,0.91304347826087,39,1.69565217391304,21,0.91304347826087,60,2.60869565217391,2,0.0869565217391304,5,0.217391304347826,11,0.478260869565217,9,0.391304347826087,37,1.60869565217391,60,2.60869565217391,419,18.2173913043478,0.533,0.571,0.533,NA,0.533,0.919884513013925,0.123797503228969,25815
"4","Alana Beard",2019,37,"LAS",0.5,16,3,235,14.6875,22,1.375,49,3.0625,21,1.3125,44,2.75,1,0.0625,5,0.3125,7,0.4375,9,0.5625,22,1.375,2,0.125,24,1.5,23,1.4375,12,0.75,3,0.1875,9,0.5625,21,1.3125,52,3.25,3004,187.75,0.449,0.778,0.477,0.2,0.459,-0.975534507504786,0.0727005982454949,108000
"5","Alanna Smith",2019,22,"PHO",-0.5,18,0,134,7.44444444444444,8,0.444444444444444,41,2.27777777777778,6,0.333333333333333,23,1.27777777777778,2,0.111111111111111,18,1,1,0.0555555555555556,2,0.111111111111111,24,1.33333333333333,11,0.611111111111111,35,1.94444444444444,4,0.222222222222222,5,0.277777777777778,5,0.277777777777778,8,0.444444444444444,18,1,19,1.05555555555556,4049,224.944444444444,0.195,0.5,0.261,0.111,0.22,-1.79649142459452,-0.222565019917364,49539
"6","Alex Bentley",2019,28,"ATL",-1,29,4,634,21.8620689655172,99,3.41379310344828,323,11.1379310344828,67,2.31034482758621,187,6.44827586206897,32,1.10344827586207,136,4.68965517241379,30,1.03448275862069,35,1.20689655172414,44,1.51724137931034,10,0.344827586206897,54,1.86206896551724,86,2.96551724137931,21,0.724137931034483,9,0.310344827586207,44,1.51724137931034,56,1.93103448275862,260,8.96551724137931,83,2.86206896551724,0.307,0.857,0.358,0.235,0.356,-3.03637771115742,-0.41253955285729,115000
"7","Alexis Jones",2019,25,"LAS",0.1,20,1,243,12.15,28,1.4,70,3.5,17,0.85,37,1.85,11,0.55,33,1.65,12,0.6,15,0.75,20,1,2,0.1,22,1.1,36,1.8,6,0.3,4,0.2,27,1.35,29,1.45,79,3.95,2458,122.9,0.4,0.8,0.459,0.333,0.479,-1.01110682281054,0.00258871280563739,47798
"8","Allie Quigley",2019,33,"CHI",3.7,34,34,972,28.5882352941176,171,5.02941176470588,347,10.2058823529412,91,2.67647058823529,166,4.88235294117647,80,2.35294117647059,181,5.32352941176471,47,1.38235294117647,54,1.58823529411765,88,2.58823529411765,13,0.382352941176471,101,2.97058823529412,85,2.5,27,0.794117647058823,7,0.205882352941176,46,1.35294117647059,61,1.79411764705882,469,13.7941176470588,73,2.14705882352941,0.493,0.87,0.548,0.442,0.608,4.66501810017334,1.27247999804194,117500
"9","Allisha Gray",2019,24,"DAL",3.6,34,29,1035,30.4411764705882,117,3.44117647058824,256,7.52941176470588,84,2.47058823529412,170,5,33,0.970588235294118,86,2.52941176470588,95,2.79411764705882,112,3.29411764705882,96,2.82352941176471,45,1.32352941176471,141,4.14705882352941,78,2.29411764705882,42,1.23529411764706,14,0.411764705882353,49,1.44117647058824,87,2.55882352941176,362,10.6470588235294,3638,107,0.457,0.848,0.494,0.384,0.521,3.36430060913999,1.18160793134853,57886
"10","Alysha Clark",2019,31,"SEA",3.1,31,30,881,28.4193548387097,114,3.67741935483871,237,7.64516129032258,63,2.03225806451613,131,4.2258064516129,51,1.64516129032258,106,3.41935483870968,18,0.580645161290323,22,0.709677419354839,108,3.48387096774194,37,1.19354838709677,145,4.67741935483871,79,2.54838709677419,33,1.06451612903226,17,0.548387096774194,48,1.54838709677419,60,1.93548387096774,297,9.58064516129032,123,3.96774193548387,0.481,0.818,0.481,0.481,0.589,7.07628250839619,1.21093385421156,84100
"11","Alyssa Thomas",2019,27,"CON",3.7,34,34,1026,30.1764705882353,168,4.94117647058824,333,9.79411764705882,168,4.94117647058824,332,9.76470588235294,0,0,1,0.0294117647058824,60,1.76470588235294,121,3.55882352941176,181,5.32352941176471,83,2.44117647058824,264,7.76470588235294,104,3.05882352941176,66,1.94117647058824,13,0.382352941176471,69,2.02941176470588,96,2.82352941176471,396,11.6470588235294,93,2.73529411764706,0.505,0.496,0.506,0,0.505,-5.58363330188094,-1.36424690722572,115000
"12","Amanda Zahui B.",2019,25,"NYL",1.4,24,23,558,23.25,81,3.375,173,7.20833333333333,59,2.45833333333333,104,4.33333333333333,22,0.916666666666667,69,2.875,23,0.958333333333333,27,1.125,126,5.25,26,1.08333333333333,152,6.33333333333333,21,0.875,26,1.08333333333333,33,1.375,32,1.33333333333333,79,3.29166666666667,207,8.625,512,21.3333333333333,0.468,0.852,0.567,0.319,0.532,1.32168564446728,0.450359643964616,108000
"13","Angel McCoughtry",2019,32,"ATL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,1010,NA,NA,NA,NA,NA,-4.73850749528081,-0.0155244282412672,117500
"14","Anriel Howard",2019,22,"SEA",0,3,0,20,6.66666666666667,2,0.666666666666667,5,1.66666666666667,1,0.333333333333333,3,1,1,0.333333333333333,2,0.666666666666667,0,0,0,0,1,0.333333333333333,2,0.666666666666667,3,1,0,0,1,0.333333333333333,0,0,2,0.666666666666667,4,1.33333333333333,5,1.66666666666667,2054,684.666666666667,0.4,NA,0.333,0.5,0.5,9.26087297528856,0.253760118933822,5122
"15","Arica Carter",2019,22,"PHO",-0.1,6,0,24,4,1,0.166666666666667,5,0.833333333333333,1,0.166666666666667,1,0.166666666666667,0,0,4,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,0.166666666666667,1,0.166666666666667,0,0,2,0.333333333333333,5,0.833333333333333,2,0.333333333333333,1503,250.5,0.2,NA,1,0,0.2,-12.1283292775563,-0.66602563193023,41965
"16","Ariel Atkins",2019,22,"WAS",3,33,33,804,24.3636363636364,123,3.72727272727273,296,8.96969696969697,72,2.18181818181818,153,4.63636363636364,51,1.54545454545455,143,4.33333333333333,43,1.3030303030303,53,1.60606060606061,69,2.09090909090909,24,0.727272727272727,93,2.81818181818182,65,1.96969696969697,48,1.45454545454545,18,0.545454545454545,34,1.03030303030303,73,2.21212121212121,340,10.3030303030303,397,12.030303030303,0.416,0.811,0.471,0.357,0.502,-0.971226913998375,-0.0658818557347305,49611
"17","Arike Ogunbowale",2019,22,"DAL",2.7,33,28,1059,32.0909090909091,214,6.48484848484848,551,16.6969696969697,157,4.75757575757576,389,11.7878787878788,57,1.72727272727273,162,4.90909090909091,145,4.39393939393939,178,5.39393939393939,60,1.81818181818182,20,0.606060606060606,80,2.42424242424242,106,3.21212121212121,35,1.06060606060606,1,0.0303030303030303,68,2.06060606060606,85,2.57575757575758,630,19.0909090909091,1023,31,0.388,0.815,0.404,0.352,0.44,-3.60803448584394,-0.635206206031662,49539
"18","Ashley Walker",2019,32,"LAS",-0.1,3,0,22,7.33333333333333,1,0.333333333333333,11,3.66666666666667,1,0.333333333333333,6,2,0,0,5,1.66666666666667,0,0,0,0,1,0.333333333333333,2,0.666666666666667,3,1,3,1,1,0.333333333333333,0,0,0,0,4,1.33333333333333,2,0.666666666666667,3939,1313,0.091,NA,0.167,0,0.091,15.8478985584455,0.680109537094657,56375
"19","Asia Durr",2019,22,"NYL",0.4,18,15,480,26.6666666666667,71,3.94444444444444,152,8.44444444444444,56,3.11111111111111,101,5.61111111111111,15,0.833333333333333,51,2.83333333333333,18,1,22,1.22222222222222,24,1.33333333333333,5,0.277777777777778,29,1.61111111111111,31,1.72222222222222,10,0.555555555555556,7,0.388888888888889,21,1.16666666666667,34,1.88888888888889,175,9.72222222222222,3538,196.555555555556,0.467,0.818,0.554,0.294,0.516,1.53484272039383,0.213615749113595,53537
"20","Asia Taylor",2019,27,"TOT",0,12,0,96,8,10,0.833333333333333,28,2.33333333333333,10,0.833333333333333,26,2.16666666666667,0,0,2,0.166666666666667,6,0.5,8,0.666666666666667,13,1.08333333333333,8,0.666666666666667,21,1.75,8,0.666666666666667,2,0.166666666666667,1,0.0833333333333333,7,0.583333333333333,10,0.833333333333333,26,2.16666666666667,1651,137.583333333333,0.357,0.75,0.385,0,0.357,13.3933661926071,1.35449608525834,56375
"21","Astou Ndour",2019,24,"CHI",1.3,21,11,368,17.5238095238095,58,2.76190476190476,118,5.61904761904762,44,2.0952380952381,85,4.04761904761905,14,0.666666666666667,33,1.57142857142857,13,0.619047619047619,18,0.857142857142857,58,2.76190476190476,30,1.42857142857143,88,4.19047619047619,14,0.666666666666667,10,0.476190476190476,14,0.666666666666667,14,0.666666666666667,36,1.71428571428571,143,6.80952380952381,134,6.38095238095238,0.492,0.722,0.518,0.424,0.551,-6.05281445480224,-0.992791050099508,65000
"22","Avery Warley-Talbert",2019,32,"NYL",-0.2,3,0,35,11.6666666666667,1,0.333333333333333,5,1.66666666666667,1,0.333333333333333,5,1.66666666666667,0,0,0,0,1,0.333333333333333,2,0.666666666666667,4,1.33333333333333,3,1,7,2.33333333333333,0,0,0,0,2,0.666666666666667,4,1.33333333333333,7,2.33333333333333,3,1,2138,712.666666666667,0.2,0.5,0.2,NA,0.2,-20.9542931887306,-1.082960536343,41695
"23","Azura Stevens",2019,23,"DAL",-0.1,9,1,144,16,19,2.11111111111111,53,5.88888888888889,18,2,44,4.88888888888889,1,0.111111111111111,9,1,4,0.444444444444444,5,0.555555555555556,17,1.88888888888889,15,1.66666666666667,32,3.55555555555556,5,0.555555555555556,5,0.555555555555556,10,1.11111111111111,9,1,12,1.33333333333333,43,4.77777777777778,1493,165.888888888889,0.358,0.8,0.409,0.111,0.368,-7.40121992564279,-0.923093244339709,49611
"24","Betnijah Laney",2019,25,"IND",0.1,34,27,877,25.7941176470588,77,2.26470588235294,213,6.26470588235294,57,1.67647058823529,147,4.32352941176471,20,0.588235294117647,66,1.94117647058824,18,0.529411764705882,31,0.911764705882353,111,3.26470588235294,32,0.941176470588235,143,4.20588235294118,59,1.73529411764706,48,1.41176470588235,4,0.117647058823529,49,1.44117647058824,55,1.61764705882353,192,5.64705882352941,5248,154.352941176471,0.362,0.581,0.388,0.303,0.408,0.440069151605464,-0.608149630274978,72500
"25","Blake Dietrick",2019,25,"SEA",-0.2,17,1,106,6.23529411764706,1,0.0588235294117647,10,0.588235294117647,1,0.0588235294117647,4,0.235294117647059,0,0,6,0.352941176470588,4,0.235294117647059,6,0.352941176470588,9,0.529411764705882,1,0.0588235294117647,10,0.588235294117647,16,0.941176470588235,3,0.176470588235294,2,0.117647058823529,10,0.588235294117647,14,0.823529411764706,6,0.352941176470588,183,10.7647058823529,0.1,0.667,0.25,0,0.1,-7.24732806173895,-0.884966430538826,41695
"26","Bria Hartley",2019,26,"NYL",0.3,24,18,545,22.7083333333333,79,3.29166666666667,210,8.75,55,2.29166666666667,137,5.70833333333333,24,1,73,3.04166666666667,53,2.20833333333333,66,2.75,59,2.45833333333333,18,0.75,77,3.20833333333333,76,3.16666666666667,18,0.75,1,0.0416666666666667,50,2.08333333333333,55,2.29166666666667,235,9.79166666666667,3810,158.75,0.376,0.803,0.401,0.329,0.433,-3.35713456367875,-0.631490833603772,102000
"27","Bria Holmes",2019,25,"CON",0.8,34,0,529,15.5588235294118,77,2.26470588235294,193,5.67647058823529,57,1.67647058823529,130,3.82352941176471,20,0.588235294117647,63,1.85294117647059,39,1.14705882352941,58,1.70588235294118,39,1.14705882352941,10,0.294117647058824,49,1.44117647058824,31,0.911764705882353,16,0.470588235294118,7,0.205882352941176,30,0.882352941176471,36,1.05882352941176,213,6.26470588235294,314,9.23529411764706,0.399,0.672,0.438,0.317,0.451,-3.46831814987112,-0.791037318230075,53290
"28","Briann January",2019,32,"PHO",0.5,32,26,852,26.625,71,2.21875,182,5.6875,40,1.25,100,3.125,31,0.96875,82,2.5625,36,1.125,43,1.34375,36,1.125,6,0.1875,42,1.3125,103,3.21875,26,0.8125,3,0.09375,54,1.6875,67,2.09375,209,6.53125,35,1.09375,0.39,0.837,0.4,0.378,0.475,6.61067769138796,1.66514154912653,117500
