"","PlusMinus","Turnovers"
"1",-3,5
"2",-10,4
"3",-11,3
"4",-21,2
"5",0,1
"7",-11,1
"8",0,0
"9",6,1
"10",0,1
"13",6,1
"21",11,2
"31",1,1
"41",11,2
"51",13,1
"71",3,1
"81",4,1
"91",5,0
"101",0,1
"11",-1,1
"12",-3,0
"18",-5,2
"22",-19,2
"32",-23,0
"42",-20,4
"52",-14,0
"72",-7,1
"82",-6,1
"92",-5,1
"102",1,0
"112",6,3
"122",2,1
"132",16,2
"211",28,2
"311",12,3
"411",16,0
"511",30,3
"711",-10,1
"811",13,6
"911",-7,0
"1011",-5,0
"111",-3,3
"19",-14,1
"23",-18,2
"33",-13,2
"43",-11,0
"53",-4,1
"73",-2,2
"83",3,0
"93",7,2
"103",-4,3
"113",1,0
"123",15,2
"212",13,2
"312",7,2
"412",1,6
"512",13,5
"712",-3,0
"812",4,2
"912",-3,0
"1012",-3,0
"1111",11,0
"110",3,1
"24",0,1
"34",2,5
"44",2,3
"54",4,3
"74",3,1
"84",1,1
"94",0,1
"133",0,0
"213",-6,2
"313",-3,0
"413",2,2
"513",-3,2
"713",-2,0
"813",5,1
"913",-9,1
"104",1,1
"114",0,1
"124",0,2
"115",-2,3
"25",-9,1
"35",-4,2
"45",-2,4
"55",-4,2
"75",-2,0
"85",0,1
"95",-4,0
"105",-8,1
"116",8,3
"214",13,3
"314",8,2
"414",5,4
"514",7,5
"714",-8,0
"814",-1,0
"914",1,0
"1013",2,3
"117",-5,0
"26",3,4
"36",2,1
"46",-2,1
"56",-4,3
"76",0,1
"86",-6,1
"96",-6,2
"106",2,3
"118",6,0
"125",-1,3
"215",-4,1
"315",-6,4
"415",0,1
"515",1,4
"715",6,0
"815",7,2
"915",4,1
"1014",3,1
"119",14,3
"27",3,2
"37",-5,0
"47",-1,4
"57",-5,1
"77",-3,0
"87",-4,2
"97",10,2
"107",11,2
"1110",-1,2
"216",4,2
"316",-21,2
"416",6,1
"516",-6,5
"716",-9,2
"816",11,4
"916",7,1
"1015",-11,2
"120",-6,3
"28",-3,2
"38",-5,4
"48",0,2
"58",-6,4
"78",-2,0
"88",-5,3
"98",1,1
"108",-4,2
"1112",10,3
"217",2,1
"317",-5,2
"417",6,4
"517",4,5
"717",0,1
"817",11,1
"917",2,0
"126",1,3
"29",-2,0
"39",9,2
"49",3,2
"59",6,2
"79",6,0
"89",-5,1
"99",0,1
"109",1,1
"1113",-2,2
"127",3,0
"134",-5,1
"218",-5,0
"318",-9,0
"418",0,3
"518",-8,2
"718",-3,1
"818",5,0
"918",5,2
"128",6,3
"210",-6,2
"310",9,2
"410",9,3
"510",-6,1
"710",-11,2
"810",20,0
"910",3,0
"1010",1,2
"1114",0,1
"129",7,0
"219",-12,4
"319",-2,1
"419",4,2
"519",-6,3
"719",-2,1
"819",-7,0
"919",-5,1
"1016",-2,2
"130",-2,1
"220",-6,1
"320",-6,5
"420",-9,4
"520",-9,2
"720",-7,2
"820",-3,0
"920",0,1
"1017",-3,0
"1115",1,2
"2110",6,5
"3110",12,4
"4110",15,3
"5110",6,3
"7110",8,1
"8110",3,0
"9110",3,0
"1018",-9,1
"135",3,4
"221",5,3
"321",4,1
"421",3,3
"521",2,4
"721",-7,1
"821",5,0
"921",3,0
"1019",2,1
"1210",-11,0
"2111",3,5
"3111",11,1
"4111",-5,5
"5111",0,1
"7111",2,1
"8111",-10,0
"9111",-7,1
"10110",0,0
"1116",-3,3
"136",-8,3
"222",2,1
"322",-1,0
"422",-9,1
"522",4,2
"722",0,0
"822",-2,0
"922",-1,0
"1117",1,3
"2112",9,4
"3112",-7,1
"4112",4,4
"5112",-6,0
"7112",9,0
"8112",-8,1
"9112",9,2
"1020",4,0
"137",-13,2
"223",-17,0
"323",-12,2
"423",-10,1
"523",-11,3
"723",-4,0
"823",-3,2
"923",-1,1
"1021",-7,2
"1118",-7,2
"1211",12,1
"2113",18,1
"3113",9,2
"4113",13,2
"5113",19,5
"7113",2,0
"8113",0,1
"9113",8,0
"10111",4,1
"1119",0,0
"138",2,2
"224",10,2
"324",12,2
"424",4,1
"524",4,3
"724",-9,1
"824",-4,1
"924",-9,0
"1022",5,1
"1212",2,0
"2114",-2,2
"3114",-4,2
"4114",2,7
"5114",-14,2
"7114",-1,0
"8114",1,2
"9114",8,0
"10112",-2,2
"1120",-5,1
"139",5,1
"225",4,1
"325",11,0
"425",6,0
"525",6,3
"725",-10,1
"825",-7,0
"925",-10,2
"1121",-7,1
"2115",-5,1
"3115",2,2
"4115",-12,3
"5115",-6,2
"7115",0,0
"8115",11,3
"9115",12,0
"140",2,1
"226",-3,1
"326",3,1
"426",-9,1
"526",-7,2
"726",-8,1
"826",-10,1
"926",1,3
"1023",-4,1
"1122",5,0
"2116",10,3
"3116",12,3
"4116",4,1
"5116",3,3
"7116",2,0
"8116",-3,1
"9116",3,1
"10113",-1,0
"142",-12,0
"227",-7,0
"327",-8,3
"427",-13,5
"527",-5,3
"727",-7,0
"827",0,0
"927",2,1
"1024",-6,0
"1123",-9,1
"1213",2,2
"2117",8,4
"3117",7,2
"4117",8,3
"5117",9,4
"7117",3,0
"8117",19,2
"9117",9,1
"10114",0,0
"143",15,1
"228",14,3
"328",21,1
"428",13,5
"528",10,2
"728",-10,2
"828",-6,0
"928",-3,0
"1025",0,3
"1124",1,2
"1214",-19,0
"2118",-4,2
"3118",-16,1
"4118",2,5
"5118",-22,3
"7118",8,2
"8118",-3,0
"9118",-1,0
"144",-5,1
"229",-1,3
"329",0,3
"429",-5,2
"529",0,5
"729",0,0
"829",4,0
"929",-5,2
"1026",-13,2
"1215",1,3
"2119",0,3
"3119",-2,4
"4119",6,3
"5119",-9,0
"7119",6,3
"8119",5,0
"9119",4,1
"10115",-1,1
"1125",15,0
"145",-2,1
"230",4,3
"330",10,4
"430",0,4
"530",4,0
"730",4,0
"830",7,1
"930",7,0
"1027",6,1
"1126",-6,2
"2120",-12,5
"3120",2,2
"4120",-7,1
"5120",-10,3
"7120",6,0
"8120",2,1
"9120",-15,3
"10116",0,1
"146",-4,4
"231",0,3
"331",-14,3
"431",-8,2
"531",-15,3
"731",-3,1
"831",-7,3
"931",-4,0
"1028",0,2
"1216",-21,0
"2121",-2,1
"3121",-16,0
"4121",-17,2
"5121",8,0
"7121",32,2
"8121",27,2
"9121",-3,1
"10117",19,2
"1127",28,4
"147",-18,2
"232",21,1
"332",13,1
"432",7,1
"532",10,0
"732",15,2
"832",11,0
"932",1,0
"1029",14,3
"1128",6,0
"1217",-5,0
"2122",-12,2
"3122",-9,2
"4122",-5,5
"5122",-5,1
"7122",-8,1
"8122",-3,1
"9122",-4,1
"10118",-25,4
"11110",-4,1
"148",-20,2
"233",-25,2
"333",-25,2
"433",-30,5
"533",-22,1
"733",5,0
"833",-7,3
"933",-12,0
"1030",-10,1
"1129",-12,2
"1218",-2,2
"1310",20,0
"2123",30,3
"3123",26,2
"4123",10,2
"5123",22,3
"7123",11,3
"8123",5,2
"9123",-4,0
"10119",30,2
"11111",10,2
"149",-8,2
"234",-9,1
"334",-13,2
"434",-13,3
"534",-19,4
"734",-8,2
"834",-10,0
"934",-14,1
"1031",-21,2
"1130",15,0
"2124",11,1
"3124",19,4
"4124",15,8
"5124",4,0
"7124",14,2
"8124",4,0
"9124",16,1
