Rk,Player,brefid, Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,FT%,2P%,3P%,eFG%
1,Elena Delle Donne,delleel01w,2019,29,WAS,WNBA,7.7,31,31,901,220,427,168,306,52,121,114,117,48,255,68,19,39,30,32,606,0.515,0.974,0.549,0.43,0.576
2,Jonquel Jones,jonesjo01w,2019,25,CON,WNBA,5.6,34,34,980,173,386,130,247,43,139,108,132,113,330,52,43,68,66,96,497,0.448,0.818,0.526,0.309,0.504
3,Nneka Ogwumike,ogwumnn01w,2019,28,LAS,WNBA,5.5,32,32,892,207,406,184,338,23,68,77,93,73,282,58,60,15,58,92,514,0.51,0.828,0.544,0.338,0.538
4,Sylvia Fowles,fowlesy01w,2019,33,MIN,WNBA,5.3,34,34,1003,197,335,197,335,0,0,70,99,92,302,51,32,47,68,88,464,0.588,0.707,0.588,,0.588
5,Napheesa Collier,collina01w,2019,22,MIN,WNBA,5.2,34,34,1131,167,341,137,258,30,83,80,101,60,223,87,65,32,65,99,444,0.49,0.792,0.531,0.361,0.534
6,Brittney Griner,grinebr01w,2019,28,PHO,WNBA,5,31,31,1018,270,479,269,476,1,3,101,125,51,222,75,22,62,76,85,642,0.564,0.808,0.565,0.333,0.565
7,Natasha Howard,howarna01w,2019,27,SEA,WNBA,4.6,34,34,1066,227,517,195,413,32,104,128,158,92,279,72,74,59,99,100,614,0.439,0.81,0.472,0.308,0.47
8,Liz Cambage,cambael01w,2019,27,LVA,WNBA,4.1,32,30,807,196,389,194,377,2,12,116,155,63,261,68,19,51,72,88,510,0.504,0.748,0.515,0.167,0.506
9,Courtney Vandersloot,vandeco01w,2019,30,CHI,WNBA,4.1,33,33,991,135,299,104,192,31,107,68,80,20,143,300,45,15,96,50,369,0.452,0.85,0.542,0.29,0.503
10,DeWanna Bonner,bonnede01w,2019,31,PHO,WNBA,4,34,34,1120,190,504,138,313,52,191,153,167,34,260,92,44,21,53,55,585,0.377,0.916,0.441,0.272,0.429
11,Emma Meesseman,meessem01w,2019,26,WAS,WNBA,4,23,6,543,122,221,103,176,19,45,38,42,27,97,73,20,15,22,41,301,0.552,0.905,0.585,0.422,0.595
12,Teaira McCowan,mccowte01w,2019,22,IND,WNBA,3.9,34,16,752,119,230,119,230,0,0,103,150,108,305,8,20,44,44,110,341,0.517,0.687,0.517,,0.517
13,Kayla McBride,mcbrika01w,2019,27,LVA,WNBA,3.7,34,34,990,152,358,90,213,62,145,87,96,22,141,88,41,3,59,46,453,0.425,0.906,0.423,0.428,0.511
14,Allie Quigley,quiglal01w,2019,33,CHI,WNBA,3.7,34,34,972,171,347,91,166,80,181,47,54,13,101,85,27,7,46,61,469,0.493,0.87,0.548,0.442,0.608
15,Alyssa Thomas,thomaal01w,2019,27,CON,WNBA,3.7,34,34,1026,168,333,168,332,0,1,60,121,83,264,104,66,13,69,96,396,0.505,0.496,0.506,0,0.505
16,Allisha Gray,grayal01w,2019,24,DAL,WNBA,3.6,34,29,1035,117,256,84,170,33,86,95,112,45,141,78,42,14,49,87,362,0.457,0.848,0.494,0.384,0.521
17,Dearica Hamby,hambyde01w,2019,25,LVA,WNBA,3.6,34,9,842,141,289,124,236,17,53,74,103,76,257,65,33,12,61,71,373,0.488,0.718,0.525,0.321,0.517
18,Leilani Mitchell,mitchle01w,2019,34,PHO,WNBA,3.5,32,27,971,134,304,60,132,74,172,68,82,16,96,128,30,10,58,78,410,0.441,0.829,0.455,0.43,0.563
19,Courtney Williams,willico01w,2019,25,CON,WNBA,3.5,34,34,988,187,430,171,395,16,35,60,75,48,189,129,46,13,56,47,450,0.435,0.8,0.433,0.457,0.453
20,LaToya Sanders,pringla01w,2019,32,WAS,WNBA,3.4,34,34,804,87,172,87,172,0,0,33,37,44,186,66,30,47,30,71,207,0.506,0.892,0.506,,0.506
21,Kristi Toliver,tolivkr01w,2019,32,WAS,WNBA,3.3,23,23,678,116,235,80,135,36,100,30,35,11,67,137,27,2,47,31,298,0.494,0.857,0.593,0.36,0.57
22,Alysha Clark,clarkal01w,2019,31,SEA,WNBA,3.1,31,30,881,114,237,63,131,51,106,18,22,37,145,79,33,17,48,60,297,0.481,0.818,0.481,0.481,0.589
23,Mercedes Russell,russeme01w,2019,23,SEA,WNBA,3.1,34,30,870,106,204,106,204,0,0,42,65,81,207,35,37,17,33,85,254,0.52,0.646,0.52,,0.52
24,A'ja Wilson,wilsoa01w,2019,22,LVA,WNBA,3.1,26,25,740,158,330,158,329,0,1,114,144,43,168,47,13,45,56,52,430,0.479,0.792,0.48,0,0.479
25,Ariel Atkins,atkinar01w,2019,22,WAS,WNBA,3,33,33,804,123,296,72,153,51,143,43,53,24,93,65,48,18,34,73,340,0.416,0.811,0.471,0.357,0.502
26,Chiney Ogwumike,ogwumch01w,2019,27,LAS,WNBA,3,32,14,697,125,253,124,249,1,4,55,68,81,184,25,33,23,42,110,306,0.494,0.809,0.498,0.25,0.496
27,Aerial Powers,powerae01w,2019,25,WAS,WNBA,3,30,7,593,108,249,66,133,42,116,85,98,34,97,45,25,6,44,48,343,0.434,0.867,0.496,0.362,0.518
28,Natalie Achonwa,achonna01w,2019,26,IND,WNBA,2.7,30,18,636,99,203,96,191,3,12,60,66,48,156,48,18,20,29,77,261,0.488,0.909,0.503,0.25,0.495
29,Stefanie Dolson,dolsost01w,2019,27,CHI,WNBA,2.7,34,34,850,121,233,91,150,30,83,44,49,41,189,75,21,34,66,125,316,0.519,0.898,0.607,0.361,0.584
30,Tianna Hawkins,hawkiti01w,2019,28,WAS,WNBA,2.7,31,1,477,113,220,80,129,33,91,37,40,47,129,23,14,4,35,77,296,0.514,0.925,0.62,0.363,0.589
31,Arike Ogunbowale,ogunbar01w,2019,22,DAL,WNBA,2.7,33,28,1059,214,551,157,389,57,162,145,178,20,80,106,35,1,68,85,630,0.388,0.815,0.404,0.352,0.44
32,Elizabeth Williams,williel01w,2019,26,ATL,WNBA,2.7,32,32,909,107,235,107,235,0,0,82,112,99,208,37,24,53,41,71,296,0.455,0.732,0.455,,0.455
33,Cheyenne Parker,parkech01w,2019,26,CHI,WNBA,2.6,34,0,670,107,233,102,215,5,18,80,95,62,197,30,25,42,45,81,299,0.459,0.842,0.474,0.278,0.47
34,Shekinna Stricklen,stricsh01w,2019,28,CON,WNBA,2.6,34,34,804,104,255,28,56,76,199,22,27,9,65,39,34,7,28,79,306,0.408,0.815,0.5,0.382,0.557
35,Natasha Cloud,cloudna01w,2019,27,WAS,WNBA,2.5,34,34,1093,110,279,65,141,45,138,41,60,6,85,189,35,7,65,69,306,0.394,0.683,0.461,0.326,0.475
36,Diamond DeShields,deshidi01w,2019,24,CHI,WNBA,2.4,34,34,1027,192,481,142,323,50,158,117,140,29,187,82,43,14,74,92,551,0.399,0.836,0.44,0.316,0.451
37,Chelsea Gray,graych01w,2019,26,LAS,WNBA,2.4,34,34,1108,188,452,138,321,50,131,66,72,14,128,202,33,3,108,49,492,0.416,0.917,0.43,0.382,0.471
38,Danielle Robinson,robinda01w,2019,30,MIN,WNBA,2.3,34,25,919,138,316,129,275,9,41,58,66,22,118,125,42,7,70,61,343,0.437,0.879,0.469,0.22,0.451
39,Damiris Dantas,dantada01w,2019,26,MIN,WNBA,2.2,26,26,667,89,206,47,99,42,107,19,26,28,116,84,19,15,45,74,239,0.432,0.731,0.475,0.393,0.534
40,Odyssey Sims,simsod01w,2019,26,MIN,WNBA,2.1,34,34,1083,189,455,164,362,25,93,89,112,24,114,185,46,4,112,68,492,0.415,0.795,0.453,0.269,0.443
41,Jasmine Thomas,thomaja01w,2019,29,CON,WNBA,2,34,34,1009,139,355,94,232,45,123,56,70,19,97,175,48,5,93,62,379,0.392,0.8,0.405,0.366,0.455
42,Riquna Williams,williri02w,2019,29,LAS,WNBA,2,23,14,593,93,242,39,104,54,138,44,50,13,60,37,26,4,28,58,284,0.384,0.88,0.375,0.391,0.496
43,Kia Nurse,nurseki01w,2019,23,NYL,WNBA,1.9,34,34,1001,142,361,77,177,65,184,116,133,19,85,78,25,4,56,60,465,0.393,0.872,0.435,0.353,0.483
44,Shatori Walker-Kimbrough,walkesh01w,2019,24,WAS,WNBA,1.9,34,1,580,76,176,54,105,22,71,53,57,17,53,42,28,8,34,41,227,0.432,0.93,0.514,0.31,0.494
45,Candace Parker,parkeca01w,2019,33,LAS,WNBA,1.8,22,22,571,89,211,73,151,16,60,53,67,24,140,76,23,17,54,39,247,0.422,0.791,0.483,0.267,0.46
46,Lexie Brown,brownle02w,2019,24,MIN,WNBA,1.6,33,0,605,84,209,32,74,52,135,30,38,7,45,47,31,1,41,42,250,0.402,0.789,0.432,0.385,0.526
47,Candice Dupree,dupreca01w,2019,34,IND,WNBA,1.6,34,34,1043,174,369,174,366,0,3,47,56,24,169,86,15,19,52,34,395,0.472,0.839,0.475,0,0.472
48,Isabelle Harrison,harriis01w,2019,25,DAL,WNBA,1.6,31,29,794,110,241,110,235,0,6,48,67,72,181,42,35,25,48,80,268,0.456,0.716,0.468,0,0.456
49,Jessica Breland,brelaje01w,2019,31,ATL,WNBA,1.5,33,33,767,104,275,95,237,9,38,29,33,42,240,55,42,35,38,65,246,0.378,0.879,0.401,0.237,0.395
50,Tierra Ruffin-Pratt,ruffiti01w,2019,28,LAS,WNBA,1.5,34,33,856,72,196,47,123,25,73,35,41,20,83,57,26,20,29,91,204,0.367,0.854,0.382,0.342,0.431
51,Brianna Turner,turnebr01w,2019,22,PHO,WNBA,1.4,29,12,462,49,91,49,91,0,0,19,26,45,120,15,7,21,19,50,117,0.538,0.731,0.538,,0.538
52,Erica Wheeler,wheeler01w,2019,28,IND,WNBA,1.4,34,34,850,127,298,79,173,48,125,41,47,5,102,171,40,5,97,74,343,0.426,0.872,0.457,0.384,0.507
53,Amanda Zahui B.,zahuiam01w,2019,25,NYL,WNBA,1.4,24,23,558,81,173,59,104,22,69,23,27,26,152,21,26,33,32,79,207,0.468,0.852,0.567,0.319,0.532
54,Jordin Canada,canadjo01w,2019,23,SEA,WNBA,1.3,30,29,865,112,289,104,246,8,43,63,82,13,71,155,68,7,79,48,295,0.388,0.768,0.423,0.186,0.401
55,Jantel Lavender,lavenja01w,2019,30,CHI,WNBA,1.3,23,22,619,103,210,97,183,6,27,19,21,46,158,26,7,13,32,34,231,0.49,0.905,0.53,0.222,0.505
56,Jewell Loyd,loydje01w,2019,25,SEA,WNBA,1.3,27,21,686,117,299,83,198,34,101,64,69,11,74,54,35,3,52,33,332,0.391,0.928,0.419,0.337,0.448
57,Astou Ndour,ndouras01w,2019,24,CHI,WNBA,1.3,21,11,368,58,118,44,85,14,33,13,18,30,88,14,10,14,14,36,143,0.492,0.722,0.518,0.424,0.551
58,Jackie Young,youngja01w,2019,21,LVA,WNBA,1.3,34,34,767,76,236,62,192,14,44,59,73,23,111,153,26,12,53,47,225,0.322,0.808,0.323,0.318,0.352
59,Kalani Brown,brownka01w,2019,22,LAS,WNBA,1.2,28,0,377,54,113,54,112,0,1,36,46,34,98,17,9,22,29,47,144,0.478,0.783,0.482,0,0.478
60,Sydney Colson,colsosy01w,2019,29,LVA,WNBA,1.2,33,0,379,37,84,28,64,9,20,27,33,2,23,59,31,4,28,40,110,0.44,0.818,0.438,0.45,0.494
61,Glory Johnson,johnsgl01w,2019,28,DAL,WNBA,1.2,28,19,676,78,214,43,111,35,103,14,24,27,144,39,39,18,28,45,205,0.364,0.583,0.387,0.34,0.446
62,Kelsey Plum,plumke01w,2019,24,LVA,WNBA,1.2,34,30,868,107,293,62,168,45,125,34,39,15,97,102,27,4,53,76,293,0.365,0.872,0.369,0.36,0.442
63,Sami Whitcomb,whitcsa01w,2019,30,SEA,WNBA,1.2,33,13,674,82,224,19,40,63,184,11,11,17,57,78,36,4,52,49,238,0.366,1,0.475,0.342,0.507
64,Kelsey Mitchell,mitchke01w,2019,23,IND,WNBA,1.1,34,20,852,167,432,88,221,79,211,51,61,4,56,90,15,4,57,57,464,0.387,0.836,0.398,0.374,0.478
