"","Player","Season","Age","Tm","WS","G","GS","MP","FG","FGPM","FGA","FGAPM","X2P","X2PPM","X2PA","X2PAPM","X3P","X3PPM","X3PA","X3PAPM","FT","FTPM","FTA","FTAPM","ORB","ORBPM","TRB","TRBPM","DRB","DRBPM","AST","ASPM","STL","SPM","BLK","BPM","TOV","TPM","PF","PFPM","PTS","PPM","APM","RAPM","Salary"
"1","A'ja Wilson",2019,22,"LVA",3.1,26,25,740,158,7.686,330,16.054,158,7.686,329,16.005,0,0,1,0.049,114,5.546,144,7.005,43,2.092,168,8.173,125,6.081,47,2.286,13,0.632,45,2.189,56,2.724,52,2.53,430,20.919,-1.98,-0.388,53616
"2","Aerial Powers",2019,25,"WAS",3,30,7,593,108,6.556,249,15.116,66,4.007,133,8.074,42,2.55,116,7.042,85,5.16,98,5.949,34,2.064,97,5.889,63,3.825,45,2.732,25,1.518,6,0.364,44,2.671,48,2.914,343,20.823,6.087,1.536,59718
"3","Alaina Coates",2019,24,"TOT",0.7,23,0,167,24,5.174,45,9.701,24,5.174,45,9.701,0,0,0,0,12,2.587,21,4.527,21,4.527,60,12.934,39,8.407,2,0.431,5,1.078,11,2.371,9,1.94,37,7.976,60,12.934,0.71,0.11,25815
"4","Alana Beard",2019,37,"LAS",0.5,16,3,235,22,3.37,49,7.506,21,3.217,44,6.74,1,0.153,5,0.766,7,1.072,9,1.379,2,0.306,24,3.677,22,3.37,23,3.523,12,1.838,3,0.46,9,1.379,21,3.217,52,7.966,-0.264,0.152,108000
"5","Alanna Smith",2019,22,"PHO",-0.5,18,0,134,8,2.149,41,11.015,6,1.612,23,6.179,2,0.537,18,4.836,1,0.269,2,0.537,11,2.955,35,9.403,24,6.448,4,1.075,5,1.343,5,1.343,8,2.149,18,4.836,19,5.104,-1.555,-0.201,49539
"6","Alex Bentley",2019,28,"ATL",-1,29,4,634,99,5.621,323,18.341,67,3.804,187,10.618,32,1.817,136,7.722,30,1.703,35,1.987,10,0.568,54,3.066,44,2.498,86,4.883,21,1.192,9,0.511,44,2.498,56,3.18,260,14.763,-2.71,-0.358,115000
"7","Alexis Jones",2019,25,"LAS",0.1,20,1,243,28,4.148,70,10.37,17,2.519,37,5.481,11,1.63,33,4.889,12,1.778,15,2.222,2,0.296,22,3.259,20,2.963,36,5.333,6,0.889,4,0.593,27,4,29,4.296,79,11.704,-0.531,0.04,47798
"8","Allie Quigley",2019,33,"CHI",3.7,34,34,972,171,6.333,347,12.852,91,3.37,166,6.148,80,2.963,181,6.704,47,1.741,54,2,13,0.481,101,3.741,88,3.259,85,3.148,27,1,7,0.259,46,1.704,61,2.259,469,17.37,4.524,1.247,117500
"9","Allisha Gray",2019,24,"DAL",3.6,34,29,1035,117,4.07,256,8.904,84,2.922,170,5.913,33,1.148,86,2.991,95,3.304,112,3.896,45,1.565,141,4.904,96,3.339,78,2.713,42,1.461,14,0.487,49,1.704,87,3.026,362,12.591,4.667,1.525,57886
"10","Alysha Clark",2019,31,"SEA",3.1,31,30,881,114,4.658,237,9.684,63,2.574,131,5.353,51,2.084,106,4.331,18,0.736,22,0.899,37,1.512,145,5.925,108,4.413,79,3.228,33,1.348,17,0.695,48,1.961,60,2.452,297,12.136,7.246,1.257,84100
"11","Alyssa Thomas",2019,27,"CON",3.7,34,34,1026,168,5.895,333,11.684,168,5.895,332,11.649,0,0,1,0.035,60,2.105,121,4.246,83,2.912,264,9.263,181,6.351,104,3.649,66,2.316,13,0.456,69,2.421,96,3.368,396,13.895,-5.789,-1.426,115000
"12","Amanda Zahui B.",2019,25,"NYL",1.4,24,23,558,81,5.226,173,11.161,59,3.806,104,6.71,22,1.419,69,4.452,23,1.484,27,1.742,26,1.677,152,9.806,126,8.129,21,1.355,26,1.677,33,2.129,32,2.065,79,5.097,207,13.355,1.45,0.46,108000
"13","Angel McCoughtry",2019,32,"ATL",0,1,1,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,-4.416,-0.015,117500
