"","Player","Season","Age","Tm","WS","G","GS","MP","MPG","FG","FGPG","FGA","FGAPG","X2P","X2PPG","X2PA","X2PAPG","X3P","X3PPG","X3PA","X3PAPG","FT","FTPG","FTA","FTAPG","DRB","DRBPG","ORB","ORBPG","TRB","TRBPG","AST","APG","STL","SPG","BLK","BPG","TOV","TPG","PF","PFPG","PTS","PPG","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"1","A'ja Wilson",2019,22,"LVA",3.1,26,25,740,28.462,158,6.077,330,12.692,158,6.077,329,12.654,0,0,1,0.038,114,4.385,144,5.538,125,4.808,43,1.654,168,6.462,47,1.808,13,0.5,45,1.731,56,2.154,52,2,430,16.538,0.479,0.792,0.48,0,0.479,-1.98,-0.388,53616
"2","Aerial Powers",2019,25,"WAS",3,30,7,593,19.767,108,3.6,249,8.3,66,2.2,133,4.433,42,1.4,116,3.867,85,2.833,98,3.267,63,2.1,34,1.133,97,3.233,45,1.5,25,0.833,6,0.2,44,1.467,48,1.6,343,11.433,0.434,0.867,0.496,0.362,0.518,6.087,1.536,59718
"3","Alaina Coates",2019,24,"TOT",0.7,23,0,167,7.261,24,1.043,45,1.957,24,1.043,45,1.957,0,0,0,0,12,0.522,21,0.913,39,1.696,21,0.913,60,2.609,2,0.087,5,0.217,11,0.478,9,0.391,37,1.609,60,2.609,0.533,0.571,0.533,NA,0.533,0.71,0.11,25815
"4","Alana Beard",2019,37,"LAS",0.5,16,3,235,14.688,22,1.375,49,3.062,21,1.312,44,2.75,1,0.062,5,0.312,7,0.438,9,0.562,22,1.375,2,0.125,24,1.5,23,1.438,12,0.75,3,0.188,9,0.562,21,1.312,52,3.25,0.449,0.778,0.477,0.2,0.459,-0.264,0.152,108000
"5","Alanna Smith",2019,22,"PHO",-0.5,18,0,134,7.444,8,0.444,41,2.278,6,0.333,23,1.278,2,0.111,18,1,1,0.056,2,0.111,24,1.333,11,0.611,35,1.944,4,0.222,5,0.278,5,0.278,8,0.444,18,1,19,1.056,0.195,0.5,0.261,0.111,0.22,-1.555,-0.201,49539
"6","Alex Bentley",2019,28,"ATL",-1,29,4,634,21.862,99,3.414,323,11.138,67,2.31,187,6.448,32,1.103,136,4.69,30,1.034,35,1.207,44,1.517,10,0.345,54,1.862,86,2.966,21,0.724,9,0.31,44,1.517,56,1.931,260,8.966,0.307,0.857,0.358,0.235,0.356,-2.71,-0.358,NA
"7","Alexis Jones",2019,25,"LAS",0.1,20,1,243,12.15,28,1.4,70,3.5,17,0.85,37,1.85,11,0.55,33,1.65,12,0.6,15,0.75,20,1,2,0.1,22,1.1,36,1.8,6,0.3,4,0.2,27,1.35,29,1.45,79,3.95,0.4,0.8,0.459,0.333,0.479,-0.531,0.04,47798
"8","Allie Quigley",2019,33,"CHI",3.7,34,34,972,28.588,171,5.029,347,10.206,91,2.676,166,4.882,80,2.353,181,5.324,47,1.382,54,1.588,88,2.588,13,0.382,101,2.971,85,2.5,27,0.794,7,0.206,46,1.353,61,1.794,469,13.794,0.493,0.87,0.548,0.442,0.608,4.524,1.247,117500
"9","Allisha Gray",2019,24,"DAL",3.6,34,29,1035,30.441,117,3.441,256,7.529,84,2.471,170,5,33,0.971,86,2.529,95,2.794,112,3.294,96,2.824,45,1.324,141,4.147,78,2.294,42,1.235,14,0.412,49,1.441,87,2.559,362,10.647,0.457,0.848,0.494,0.384,0.521,4.667,1.525,57886
"10","Alysha Clark",2019,31,"SEA",3.1,31,30,881,28.419,114,3.677,237,7.645,63,2.032,131,4.226,51,1.645,106,3.419,18,0.581,22,0.71,108,3.484,37,1.194,145,4.677,79,2.548,33,1.065,17,0.548,48,1.548,60,1.935,297,9.581,0.481,0.818,0.481,0.481,0.589,7.246,1.257,84100
